Tratamentos,COL,REP,S,  N,H'(loge)
SUG,6,17,1,6,0
SUG,6,18,1,23,0
SUG,6,19,1,9,0
SUG,6,20,1,15,0
SUG,7,1,1,4,0
SUG,7,2,1,4,0
SUG,7,3,1,13,0
SUG,7,4,1,9,0
SUG,7,5,2,37,0.3425
SUG,7,6,2,19,0.5763
SUG,7,7,2,53,0.3903
SUG,7,8,2,35,0.4101
SUG,7,9,2,28,0.4101
SUG,7,10,2,13,0.2712
SUG,7,11,1,9,0
SUG,7,12,1,19,0
SUG,7,13,1,19,0
SUG,7,14,2,21,0.4101
SUG,7,15,2,35,0.2925
SUG,7,16,2,24,0.5117
SUG,7,17,2,19,0.4362
SUG,7,18,2,23,0.2954
SUG,7,19,2,21,0.3145
SUG,7,20,1,15,0
